,YTID,debut,fin,label1,label2,label3,label4,categorie
1687,ClmQxZ1FmSc,340,350," ""/m/09x0r","/m/0j6m2""",,,stream
1688,CnlguWqUZag,0,10," ""/m/0j2kx","/m/0j6m2""",,,stream
1689,CoAzzmernfc,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1690,CzcC5rjvZSA,80,90," ""/m/09x0r","/m/0j6m2""",,,stream
1691,D6Zjieerjgc,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1692,DFbXJXLBmiw,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1693,DFq-qTXc2Iw,60,70," ""/m/0838f","/m/0j6m2""",,,stream
1694,DOeiwQctLKo,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1695,DPIwB5DNuCg,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1696,DPldi1HKic0,180,190," ""/m/09x0r","/m/0j6m2""",,,stream
1697,Dg-W6FVDI9U,140,150," ""/m/09x0r","/m/0j6m2""",,,stream
1698,DhrDKUvCKBk,60,70," ""/m/07yv9",/m/0j6m2,"/m/0k4j""",,stream
1699,Dj9pu_iiKIo,50,60," ""/m/0j2kx",/m/0j6m2,"/t/dd00129""",,stream
1700,DoL2WoIW4VA,17,27," ""/m/07yv9","/m/0j6m2""",,,stream
1701,Dp3eFwfE5JM,210,220," ""/m/0j2kx","/m/0j6m2""",,,stream
1702,DsoupQpb4-0,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1703,Du2k3XezMwE,240,250," ""/m/07pqc89","/m/0j6m2""",,,stream
1704,Dui2U4Hzn4Y,100,110," ""/m/04rlf","/m/0j6m2""",,,stream
1705,DyZUJAo7l3I,40,50," ""/m/07yv9","/m/0j6m2""",,,stream
1706,E6Mu7kocDrE,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1707,E8wtX3czu_A,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1708,EAQogyG4N4Q,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1709,ECTSLMdF_pM,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1710,EETSEDBPG3s,110,120," ""/m/04rlf","/m/0j6m2""",,,stream
1711,EQJ7WpIHUqw,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1712,EQtoC0fa0HA,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1713,EQxLc4oDpgA,150,160," ""/m/0j2kx","/m/0j6m2""",,,stream
1714,EU-U1rDmLks,220,230," ""/m/0j2kx","/m/0j6m2""",,,stream
1715,EVt-e05F2qA,470,480," ""/m/09x0r","/m/0j6m2""",,,stream
1716,EZLLb-xdFIE,230,240," ""/m/0cj0r",/m/0j6m2,"/t/dd00129""",,stream
1717,Ec2qufjpbao,110,120," ""/m/0cj0r","/m/0j6m2""",,,stream
1718,Ef6Ohp6Ogrc,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1719,EnNE9_mGgc8,15,25," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1720,EzHyCmKhrp0,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1721,F1vtNoZIM-E,390,400," ""/m/09x0r","/m/0j6m2""",,,stream
1722,FOgCxNKz8wU,270,280," ""/m/09x0r","/m/0j6m2""",,,stream
1723,FTDs69nLJSE,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1724,FhYUe341eU0,110,120," ""/m/09x0r","/m/0j6m2""",,,stream
1725,FkipPkcHJvo,140,150," ""/m/07prgkl","/m/0j6m2""",,,stream
1726,Fo8UnTHTONU,10,20," ""/m/07pqc89","/m/0j6m2""",,,stream
1727,FobG3xIO2r0,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1728,FpGMwceRGsQ,80,90," ""/m/04rlf",/m/0j6m2,"/t/dd00038""",,stream
1729,FqwPXt4UcT4,30,40," ""/m/04rlf","/m/0j6m2""",,,stream
1730,FwxXIEdfjvo,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1731,FyyFVKeb5g8,460,470," ""/m/09x0r","/m/0j6m2""",,,stream
1732,G-7wGGDzxik,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1733,G3ZY5tlewUQ,570,580," ""/m/09x0r","/m/0j6m2""",,,stream
1734,G52wVwwmibw,110,120," ""/m/0j2kx","/m/0j6m2""",,,stream
1735,GI33MSw4-jw,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1736,GKfs4Aslfmk,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1737,GNQTmv2i3gw,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1738,GS_JqZCyqOc,50,60," ""/m/0838f","/m/0j6m2""",,,stream
1739,GUnDpwwcQio,220,230," ""/m/0838f","/m/0j6m2""",,,stream
1740,GWqcTECvBcU,30,40," ""/m/04rlf","/m/0j6m2""",,,stream
1741,GXBYudmj4ws,30,40," ""/m/07qwyj0","/m/0j6m2""",,,stream
1742,Gj8221260Fc,110,120," ""/m/09x0r","/m/0j6m2""",,,stream
1743,GonHyvStSJs,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1744,H6XeJ8Qv8N8,540,550," ""/m/09x0r",/m/0j6m2,"/m/0jbk""",,stream
1745,H7Z2sK-PWgY,70,80," ""/m/0j2kx","/m/0j6m2""",,,stream
1746,H93abasaLh0,210,220," ""/m/034srq","/m/0j6m2""",,,stream
1747,HDQPm-lWZK0,380,390," ""/m/04rlf","/m/0j6m2""",,,stream
1748,HH8AEQTCaaM,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1749,HI6Z5GFjUoA,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1750,HI_y-j_94W0,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1751,HOBaIM8wzus,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1752,HbIPNHOEK9U,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1753,HcOO67Gw0A0,390,400," ""/m/0j2kx","/m/0j6m2""",,,stream
1754,HlSSNBu5yd8,560,570," ""/m/09x0r","/m/0j6m2""",,,stream
1755,Huj2ObSxlMw,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1756,ICOHPQBAKhU,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1757,IN_3FZxg3w4,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1758,IRKxsLA-ZCw,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1759,IXXCBN0U2Dg,80,90," ""/m/04rlf","/m/0j6m2""",,,stream
1760,IYblbOOjg9c,350,360," ""/m/0j2kx","/m/0j6m2""",,,stream
1761,I_ZxcOwtp9s,30,40," ""/m/06mb1","/m/0j6m2""",,,stream
1762,InliHGHNX8A,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1763,J-QqlPiFWvw,90,100," ""/m/0j2kx","/m/0j6m2""",,,stream
1764,J2UYY8l-i2M,200,210," ""/m/0j2kx","/m/0j6m2""",,,stream
1765,J89qSMnZ4cg,20,30," ""/m/09x0r","/m/0j6m2""",,,stream
1766,JL6vEnJ0U4o,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1767,JLWNP-Hc2nI,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1768,JOXMOdLIbPc,150,160," ""/m/09x0r","/m/0j6m2""",,,stream
1769,JOdHNypmOmA,200,210," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1770,JQWxIXjjLUI,250,260," ""/m/04rlf","/m/0j6m2""",,,stream
1771,JRQgyFZ59yA,50,60," ""/m/0j2kx",/m/0j6m2,"/t/dd00129""",,stream
1772,JYDVfukvugo,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1773,K-IRD5ZiUrg,70,80," ""/m/09x0r","/m/0j6m2""",,,stream
1774,KUiDyQxHHk0,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1775,KgLN4Ax557U,80,90," ""/m/06mb1","/m/0j6m2""",,,stream
1776,KjXLHH0UE24,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1777,KqFRnVCCVMo,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1778,Kx4cVC4yW_U,120,130," ""/m/09x0r","/m/0j6m2""",,,stream
1779,L9MQuPS_hfY,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1780,LFlZ1fVqzwY,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1781,LHoS8_r3UZo,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1782,LNL-PEOmAfM,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1783,LT80mm7UBJk,200,210," ""/m/09x0r","/m/0j6m2""",,,stream
1784,LUrhP84GpUo,30,40," ""/m/04rlf","/m/0j6m2""",,,stream
1785,LZCHqSxfxl4,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1786,LdMCa0swGps,540,550," ""/m/04rlf","/m/0j6m2""",,,stream
1787,LdwxbiP9a_0,340,350," ""/m/09x0r","/m/0j6m2""",,,stream
1788,LiIuyWaSP90,280,290," ""/m/0838f","/m/0j6m2""",,,stream
1789,LqifrzLPEyI,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1790,LtqFcwGPilE,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1791,LumTOBKEo-o,120,130," ""/m/0j2kx","/m/0j6m2""",,,stream
1792,M5uxedzMQgo,250,260," ""/m/0838f","/m/0j6m2""",,,stream
1793,M8IZNvZedPI,310,320," ""/m/09x0r","/m/0j6m2""",,,stream
1794,MNgWQJ8Ugmk,10,20," ""/m/07pqc89","/m/0j6m2""",,,stream
1795,MPLn78TQuTs,6,16," ""/m/07swgks","/m/0j6m2""",,,stream
1796,MSOcuE3pHqE,190,200," ""/m/09x0r","/m/0j6m2""",,,stream
1797,MULiQwwkR5s,50,60," ""/m/09x0r","/m/0j6m2""",,,stream
1798,MXvdTNEt7Fs,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1799,MYIiX92Ojf4,0,10," ""/m/0838f","/m/0j6m2""",,,stream
1800,M_6HtSddg_M,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1801,MgwjJiX6t3o,70,80," ""/m/07rrlb6","/m/0j6m2""",,,stream
1802,Mo9pFcFj8jo,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1803,MuXj8VzShyQ,20,30," ""/m/0j2kx","/m/0j6m2""",,,stream
1804,Mwj6L8KHYJg,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1805,N-aqHHpmP8o,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1806,N-kdLUY7YDc,50,60," ""/m/09x0r","/m/0j6m2""",,,stream
1807,N4kPxF5TNmk,140,150," ""/m/09x0r","/m/0j6m2""",,,stream
1808,N7cGf7OywiI,190,200," ""/m/09x0r","/m/0j6m2""",,,stream
1809,NEIRroDPK0I,250,260," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1810,NLEBrjHupFU,170,180," ""/m/09x0r","/m/0j6m2""",,,stream
1811,NT-88fRpvuU,100,110," ""/m/04rlf","/m/0j6m2""",,,stream
1812,NUaZkudzz-A,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1813,Nalk4jgNDR0,0,10," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1814,NcjC_P_cQj0,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1815,NduHCb5Sd_I,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1816,NpHPLwVf-Tw,150,160," ""/m/09x0r",/m/0j6m2,"/m/0jbk""",,stream
1817,NpKmwH9O4ZY,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1818,NrIL6wi_Txo,330,340," ""/m/09x0r","/m/0j6m2""",,,stream
1819,NrTSjUBBclw,60,70," ""/m/0838f","/m/0j6m2""",,,stream
1820,O-VRb0oNG8k,230,240," ""/m/09x0r","/m/0j6m2""",,,stream
1821,O4drj7YTWYA,30,40," ""/m/04rlf","/m/0j6m2""",,,stream
1822,O8HyTvbaA0A,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1823,O9tPTmjH_hY,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1824,OASocNHtjpY,390,400," ""/m/0j2kx","/m/0j6m2""",,,stream
1825,OX_iveU39CE,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1826,OZylSbb4SHw,300,310," ""/m/04rlf","/m/0j6m2""",,,stream
1827,O_NiD12JcWo,50,60," ""/m/07pqc89",/m/0j6m2,"/m/0jbk""",,stream
1828,OhcJ2-c-HLY,0,10," ""/m/05kq4","/m/0j6m2""",,,stream
1829,OjAYINFHI0Q,200,210," ""/m/09x0r","/m/0j6m2""",,,stream
1830,OknFcoa6Srk,90,100," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1831,OoOasZZRbec,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1832,OqljMdnL4TI,0,10," ""/m/0j2kx","/m/0j6m2""",,,stream
1833,P2IhuMOltHU,30,40," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1834,PEII2sqotxU,180,190," ""/m/0j2kx","/m/0j6m2""",,,stream
1835,Piog69eJLJg,290,300," ""/m/07prgkl","/m/0j6m2""",,,stream
1836,Pw61sjaAT3o,200,210," ""/m/09x0r","/m/0j6m2""",,,stream
1837,PwIZLT6m7e0,0,10," ""/m/07r5v4s","/m/0j6m2""",,,stream
1838,Q4ZXpBUf4-g,320,330," ""/m/09x0r","/m/0j6m2""",,,stream
1839,QEX_zLDc2ZU,310,320," ""/m/09x0r","/m/0j6m2""",,,stream
1840,QEzoKZ0KMyE,110,120," ""/m/09x0r","/m/0j6m2""",,,stream
1841,QGppMWvXGCM,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1842,QIzgIhuvUSA,70,80," ""/m/0j2kx","/m/0j6m2""",,,stream
1843,QbBpR4yhQZo,430,440," ""/m/0j2kx","/m/0j6m2""",,,stream
1844,QbIWLLo7Fpg,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1845,Qj43IdsLgFo,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1846,QlC44NLJL_U,30,40," ""/m/07yv9","/m/0j6m2""",,,stream
1847,R1nP8fV0hNY,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1848,RGNLiP66Qqo,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1849,RJ_YEqH1fLQ,20,30," ""/m/09ddx",/m/0j6m2,"/m/0jbk""",,stream
1850,RNy18nB-lT4,40,50," ""/m/06mb1","/m/0j6m2""",,,stream
1851,RSgx3Hytjsg,25,35," ""/m/09x0r","/m/0j6m2""",,,stream
1852,RV5JdspVysw,20,30," ""/m/05kq4","/m/0j6m2""",,,stream
1853,RVx00mGM0Tk,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1854,RYdSmP6pUMM,0,10," ""/m/07pqc89","/m/0j6m2""",,,stream
1855,R_Lf1AByrFo,30,40," ""/m/04rlf","/m/0j6m2""",,,stream
1856,RbaS2r6YnnM,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1857,Rf_3pFokIFQ,40,50," ""/m/02rlv9","/m/0j6m2""",,,stream
1858,Rkmp2gMxhg4,80,90," ""/m/09x0r","/m/0j6m2""",,,stream
1859,RoVMF7NwNt4,260,270," ""/m/0838f","/m/0j6m2""",,,stream
1860,RrkewUCEgUs,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1861,Ru2z46fKtDY,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1862,RycOalzhfAA,60,70," ""/m/09x0r","/m/0j6m2""",,,stream
1863,Rz18MBDxtAI,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1864,S0uhXnWJQMc,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1865,S5H6ij8DY2U,60,70," ""/m/0j2kx","/m/0j6m2""",,,stream
1866,S6OJWb8BA0w,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1867,SBTFZ9J8LvU,420,430," ""/m/09x0r","/m/0j6m2""",,,stream
1868,SDkF01B8doY,30,40," ""/m/09x0r",/m/0j6m2,"/m/0ytgt""",,stream
1869,SFpuFrMfYrI,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1870,SK68J_xCvhA,60,70," ""/m/07pqc89","/m/0j6m2""",,,stream
1871,SUNjVhN08fE,230,240," ""/m/09x0r","/m/0j6m2""",,,stream
1872,ScRGLxXdG_4,10,20," ""/m/0838f","/m/0j6m2""",,,stream
1873,Sg4hzpugSfY,200,210," ""/m/09x0r","/m/0j6m2""",,,stream
1874,SoEDQIxkMXw,210,220," ""/m/09x0r","/m/0j6m2""",,,stream
1875,T-lUwWaF6iM,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1876,T5txllzWQ50,70,80," ""/m/09x0r","/m/0j6m2""",,,stream
1877,TASm52h9PDU,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1878,TM02EtVVRT4,140,150," ""/m/09x0r","/m/0j6m2""",,,stream
1879,Tay55hpDHLE,110,120," ""/m/0838f","/m/0j6m2""",,,stream
1880,Tsva3A2ZQIw,460,470," ""/m/09x0r","/m/0j6m2""",,,stream
1881,TtWLOvv37fQ,220,230," ""/m/04rlf","/m/0j6m2""",,,stream
1882,TzNxtUvFrmA,30,40," ""/m/07pqc89","/m/0j6m2""",,,stream
1883,U4NNgFOt-Zc,230,240," ""/m/04rlf","/m/0j6m2""",,,stream
1884,UCrB6F59PhY,90,100," ""/m/0j2kx","/m/0j6m2""",,,stream
1885,UEGjxLZPFNc,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1886,UGorQX99Z1k,170,180," ""/m/09x0r","/m/0j6m2""",,,stream
1887,UNlPomnekI8,50,60," ""/m/09x0r","/m/0j6m2""",,,stream
1888,UR5TJuuuHr8,60,70," ""/m/09x0r","/m/0j6m2""",,,stream
1889,UlEdrWIvfI0,540,550," ""/m/09x0r","/m/0j6m2""",,,stream
1890,UlEscdxhz2Q,60,70," ""/m/07pqc89",/m/0j6m2,"/m/0jbk""",,stream
1891,VIXAX78f5DE,6,16," ""/m/09x0r","/m/0j6m2""",,,stream
1892,VLpmYWKCIOg,360,370," ""/m/09x0r","/m/0j6m2""",,,stream
1893,VPR1e-Jsmds,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1894,VU8opGn9svQ,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1895,VkYg7Xjy5ro,410,420," ""/m/09x0r","/m/0j6m2""",,,stream
1896,VqLLsuv79s4,20,30," ""/m/09x0r",/m/0j6m2,"/m/0ytgt""",,stream
1897,W-3GOnakdy8,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1898,W1feIcvrLvg,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1899,W8TJYARQswg,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1900,WBM1ivrgL3I,300,310," ""/m/09x0r","/m/0j6m2""",,,stream
1901,WnH2ocS4ZfU,14,24," ""/m/0j2kx","/m/0j6m2""",,,stream
1902,WzzmLuYuTgs,120,130," ""/m/09x0r","/m/0j6m2""",,,stream
1903,X0ONwRaWi8A,220,230," ""/m/0j2kx","/m/0j6m2""",,,stream
1904,XMtNjNc00rA,360,370," ""/m/09x0r","/m/0j6m2""",,,stream
1905,XTxlYeI3234,380,390," ""/m/07pqc89","/m/0j6m2""",,,stream
1906,XZOWlBaZ6W0,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1907,Xex6KLTkhP0,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1908,XgxsdFVfK3c,330,340," ""/m/09x0r","/m/0j6m2""",,,stream
1909,XiVErvmiO_M,50,60," ""/m/07yv9",/m/0j6m2,"/m/0k4j""",,stream
1910,XjYF8ZZwUwo,490,500," ""/m/09x0r","/m/0j6m2""",,,stream
1911,Y-UN_z6uhpI,290,300," ""/m/09x0r","/m/0j6m2""",,,stream
1912,Y6KALdmaZPs,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1913,YKy3wQONai4,30,40," ""/m/028v0c",/m/0j6m2,"/t/dd00129""",,stream
1914,YM0hdQpSZP4,310,320," ""/m/09x0r","/m/0j6m2""",,,stream
1915,YTuu1ZR8JWc,150,160," ""/m/09x0r","/m/0j6m2""",,,stream
1916,YVx2TgTWcQw,120,130," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1917,YY_JJ42XiAo,30,40," ""/m/09t49","/m/0j6m2""",,,stream
1918,YYlL6TFt3yk,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1919,YZlri9wQbOY,170,180," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1920,YeQ707askgU,130,140," ""/m/09x0r","/m/0j6m2""",,,stream
1921,Ym0XiwhsORY,30,40," ""/m/0j2kx",/m/0j6m2,"/t/dd00129""",,stream
1922,Yp639DmB6Sc,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1923,YvRue1jQyDc,50,60," ""/m/09x0r","/m/0j6m2""",,,stream
1924,YwIaU2pj11k,10,20," ""/m/0cj0r","/m/0j6m2""",,,stream
1925,YwRQsa2ayDs,0,10," ""/m/0838f","/m/0j6m2""",,,stream
1926,Z1TpyROPvIo,60,70," ""/m/09x0r","/m/0j6m2""",,,stream
1927,Z1fwXkzDoqw,10,20," ""/m/09x0r","/m/0j6m2""",,,stream
1928,ZGXxE64RTVg,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1929,ZJSHh_J6VfA,30,40," ""/m/07swgks","/m/0j6m2""",,,stream
1930,ZMTyJ8FeltQ,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1931,ZTos6L0WwZo,30,40," ""/m/07pqc89","/m/0j6m2""",,,stream
1932,ZZNZd8ismb0,140,150," ""/m/0j2kx","/m/0j6m2""",,,stream
1933,Z_InKFMIslA,23,33," ""/m/07swgks","/m/0j6m2""",,,stream
1934,Zlu0qpMGW_g,20,30," ""/m/07yv9","/m/0j6m2""",,,stream
1935,ZphZKZQeVSw,300,310," ""/m/09x0r","/m/0j6m2""",,,stream
1936,ZrZBtIwQ5aY,220,230," ""/m/0j2kx","/m/0j6m2""",,,stream
1937,Zvvaw4tBoU4,50,60," ""/m/0j2kx","/m/0j6m2""",,,stream
1938,ZvyEDJsMhF8,40,50," ""/m/09x0r","/m/0j6m2""",,,stream
1939,ZxvLK1OO91o,300,310," ""/m/0j2kx","/m/0j6m2""",,,stream
1940,_AULbYbZPQI,30,40," ""/m/0cj0r","/m/0j6m2""",,,stream
1941,_P-DB961ONs,230,240," ""/m/0838f","/m/0j6m2""",,,stream
1942,_ZU1Qx5FDYk,30,40," ""/m/07pp_mv","/m/0j6m2""",,,stream
1943,_avvMepU-ZA,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1944,_j1XtxVa6lM,60,70," ""/m/09x0r","/m/0j6m2""",,,stream
1945,_rIfb-185-A,470,480," ""/m/09x0r","/m/0j6m2""",,,stream
1946,a-F2KlcgfRU,230,240," ""/m/09x0r","/m/0j6m2""",,,stream
1947,aHjv2vTiypI,20,30," ""/m/09x0r","/m/0j6m2""",,,stream
1948,aLax6OKbFkA,300,310," ""/m/09x0r","/m/0j6m2""",,,stream
1949,aLcuT4ddBRY,90,100," ""/m/07pqc89","/m/0j6m2""",,,stream
1950,aUpcJRI1NyE,430,440," ""/m/0838f","/m/0j6m2""",,,stream
1951,aVqieb3kfuo,6,16," ""/m/0j2kx","/m/0j6m2""",,,stream
1952,al89crXNtjg,180,190," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1953,anx8g2vLQWk,60,70," ""/m/0j2kx","/m/0j6m2""",,,stream
1954,asA_jAOzbw0,150,160," ""/m/09x0r","/m/0j6m2""",,,stream
1955,b8hYMt-ThbM,40,50," ""/m/0cj0r","/m/0j6m2""",,,stream
1956,baZpCTu9FdQ,240,250," ""/m/09x0r","/m/0j6m2""",,,stream
1957,blScwRDuLAw,0,10," ""/m/09x0r",/m/0j6m2,"/m/0jbk""",,stream
1958,c1Gh7z_7tlg,230,240," ""/m/09x0r","/m/0j6m2""",,,stream
1959,c82XMljxdxM,260,270," ""/m/09x0r","/m/0j6m2""",,,stream
1960,cBZaoHlsUlo,200,210," ""/m/04rlf","/m/0j6m2""",,,stream
1961,cBq4NSIqcm0,30,40," ""/m/09x0r","/m/0j6m2""",,,stream
1962,cEw4AEGMSn8,100,110," ""/m/04rlf","/m/0j6m2""",,,stream
1963,cP8Jlsh5jk8,20,30," ""/m/0838f","/m/0j6m2""",,,stream
1964,cR9rVglY5JQ,100,110," ""/m/0j2kx","/m/0j6m2""",,,stream
1965,cZQBPTzhH5Q,70,80," ""/m/09x0r","/m/0j6m2""",,,stream
1966,c_XpFmUyS0U,460,470," ""/m/0838f","/m/0j6m2""",,,stream
1967,dAFFigEWU_w,30,40," ""/m/0838f","/m/0j6m2""",,,stream
1968,dEkh-FbjAak,160,170," ""/m/0j2kx",/m/0j6m2,"/t/dd00129""",,stream
1969,dLGF3mFzGcI,110,120," ""/m/09x0r","/m/0j6m2""",,,stream
1970,dNFa-EnLNnI,90,100," ""/m/0838f","/m/0j6m2""",,,stream
1971,dTcpnZJULuk,240,250," ""/m/04rlf","/m/0j6m2""",,,stream
1972,dUsQpFmFeIk,410,420," ""/m/04rlf","/m/0j6m2""",,,stream
1973,dWFE28GmqOk,40,50," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1974,dWYnGTpPqC8,80,90," ""/m/09x0r","/m/0j6m2""",,,stream
1975,dXTc0aSjhfU,60,70," ""/m/09x0r","/m/0j6m2""",,,stream
1976,dYVdvZBwQhk,270,280," ""/m/09x0r","/m/0j6m2""",,,stream
1977,dcMbN6bCm74,50,60," ""/m/09x0r","/m/0j6m2""",,,stream
1978,dhsclD85PKw,30,40," ""/m/07qwyj0","/m/0j6m2""",,,stream
1979,dl70bek656I,170,180," ""/m/09x0r","/m/0j6m2""",,,stream
1980,dmzjzo1MVTQ,0,10," ""/m/09x0r","/m/0j6m2""",,,stream
1981,e7l-cwCpVe4,220,230," ""/m/0j2kx","/m/0j6m2""",,,stream
1982,e9yORNjLM0U,20,30," ""/m/0838f","/m/0j6m2""",,,stream
1983,eJAC4jWH9Rw,70,80," ""/m/09x0r","/m/0j6m2""",,,stream
1984,eJwpRdfsHyk,20,30," ""/m/0838f","/m/0j6m2""",,,stream
1985,eRhf1fXW_e0,110,120," ""/m/09x0r","/m/0j6m2""",,,stream
1986,edLhTZBgd10,280,290," ""/m/09x0r","/m/0j6m2""",,,stream
1987,egZM5tr2pOM,30,40," ""/m/09x0r",/m/0j6m2,"/t/dd00129""",,stream
1988,enmZuRUHKfM,0,10," ""/m/07pqc89","/m/0j6m2""",,,stream
1989,f7IB4-RgSdI,450,460," ""/m/0j2kx","/m/0j6m2""",,,stream
1990,fFxu41gaHuA,200,210," ""/m/09x0r","/m/0j6m2""",,,stream
1991,fQyuYGlXe40,160,170," ""/m/09x0r","/m/0j6m2""",,,stream
1992,fXLqAOBFPJ0,10,20," ""/m/04rlf",/m/0j6m2,"/t/dd00129""",,stream
1993,fhjFSTvObcA,30,40," ""/m/0j2kx","/m/0j6m2""",,,stream
1994,fnrCCNdhfrE,100,110," ""/m/09x0r","/m/0j6m2""",,,stream
1995,ft0L5YcClBY,0,10," ""/m/09t49",/m/0j6m2,"/t/dd00129""",,stream
1996,ft7s7y-f8Q8,160,170," ""/m/09x0r","/m/0j6m2""",,,stream
1997,g-8_fr0GkiI,570,580," ""/m/04rlf","/m/0j6m2""",,,stream
1998,gV7nagK08VA,80,90," ""/m/0j2kx","/m/0j6m2""",,,stream
1999,gnf7zkrZAkg,400,410," ""/m/09x0r","/m/0j6m2""",,,stream
